AutoRank,GenderRank,AgeGroupRank,Bib,Lastname,Firstname,Gender,AgeGroup,Club,Time,Contest.NameShort,ColumnName4,ColumnData4,Фамилия Имя,Время,Пол
53,53,17,57,Котельников,Дмитрий,m,M35-39,Академия Бега Эльзы Киреевой,11:00:20,Полная 226,Город,Уфа,Котельников Дмитрий,11:00:20.0,М
54,54,18,58,Плаксеев,Евгений,m,M35-39,Академия бега Эльзы Киреевой,11:09:06,Полная 226,Город,Уфа,Плаксеев Евгений,11:09:06.0,М
55,55,6,98,Доманников,Дмитрий,m,M45-49,Mitrei Team,11:12:24,Полная 226,Город,Гомель,Доманников Дмитрий,11:12:24.0,М
56,56,18,91,Медведев,Кирилл,m,M40-44,СК Сож,11:14:12,Полная 226,Город,Гомель,Медведев Кирилл,11:14:12.0,М
57,57,7,71,Заяц,Алексей,m,M45-49,,11:19:26,Полная 226,Город,Минск,Заяц Алексей,11:19:26.0,М
58,58,19,11,Щукин,Алексей,m,M35-39,Di3,11:19:44,Полная 226,Город,Калининград,Щукин Алексей,11:19:44.0,М
59,59,20,9,Шипуль,Андрей,m,M35-39,Yellow submarine,11:20:27,Полная 226,Город,Гомель,Шипуль Андрей,11:20:27.0,М
60,60,8,23,Ерофеев,Александр,m,M45-49,БелГУТ,11:20:32,Полная 226,Город,Гомель,Ерофеев Александр,11:20:32.0,М
61,61,19,134,Элрифай,Таха,m,M40-44,TRIVIDA,11:21:55,Полная 226,Город,Египет _Александрия,Элрифай Таха,11:21:55.0,М
62,62,21,44,Горбунов,Дмитрий,m,M35-39,Улыбка,11:21:55,Полная 226,Город,Лепель,Горбунов Дмитрий,11:21:55.0,М
63,63,22,19,Блюденов,Александр,m,M35-39,Weruneda,11:25:09,Полная 226,Город,Екатеринбург,Блюденов Александр,11:25:09.0,М
64,64,23,25,Машников,Александр,m,M35-39,EasyTri,11:26:04,Полная 226,Город,Тула,Машников Александр,11:26:04.0,М
65,65,6,137,Жильников,Эдуард,m,M50-54,Evolution,11:28:16,Полная 226,Город,Минск,Жильников Эдуард,11:28:16.0,М
66,1,1,5,Филиппович,Татьяна,f,F ABS,SBR88,11:29:57,Полная 226,Город,Бежецк,Филиппович Татьяна,11:29:57.0,Ж
67,66,20,49,Леонов,Станислав,m,M40-44,ENDURANCE,11:30:50,Полная 226,Город,Краснодар,Леонов Станислав,11:30:50.0,М
68,67,24,148,Несмачных,Дмитрий,m,M35-39,M17-TRIteam,11:30:57,Полная 226,Город,Новосибирск,Несмачных Дмитрий,11:30:57.0,М
69,68,9,32,Никита,Никита,m,M45-49,TEMPTRAINING.RU,11:33:14,Полная 226,Город,Москва,Никита Никита,11:33:14.0,М
70,69,1,138,Куттанен,Алексей,m,M55-59,,11:33:25,Полная 226,Город,Кингисепп,Куттанен Алексей,11:33:25.0,М
71,70,7,83,Махачкеев,Жаргал,m,M50-54,,11:35:18,Полная 226,Город,Улан-Удэ,Махачкеев Жаргал,11:35:18.0,М
72,71,25,141,Пахомов,Никита,m,M35-39,,11:35:56,Полная 226,Город,Дмитров,Пахомов Никита,11:35:56.0,М
73,72,10,85,Половников,Александр,m,M45-49,Trail Running School,11:36:48,Полная 226,Город,Брянск,Половников Александр,11:36:48.0,М
74,73,21,12,Захаров,Роман,m,M40-44,,11:39:45,Полная 226,Город,Москва,Захаров Роман,11:39:45.0,М
75,74,26,73,Алехин,Максим,m,M35-39,Rosatom Triathlon Club,11:44:06,Полная 226,Город,Санкт-Петербург,Алехин Максим,11:44:06.0,М
76,2,2,112,Касперович,Юлия,f,F ABS,GREBENSTAR,11:44:09,Полная 226,Город,Минск,Касперович Юлия,11:44:09.0,Ж
77,75,11,129,Потупчик,Сергей,m,M45-49,Grebenstar,11:45:10,Полная 226,Город,Гомель,Потупчик Сергей,11:45:10.0,М
78,76,27,40,Basakou,Uladzimir,m,M35-39,Evolution,11:45:24,Полная 226,Город,Минск,Basakou Uladzimir,11:45:24.0,М
79,77,22,53,Лопатин,Василий,m,M40-44,ALBAKOR,11:45:40,Полная 226,Город,Екатеринбург,Лопатин Василий,11:45:40.0,М
80,78,28,3,Прокопович,Сергей,m,M35-39,tristyle,11:46:46,Полная 226,Город,Минск,Прокопович Сергей,11:46:46.0,М
81,79,12,74,Брагин,Андрей,m,M45-49,Великий,11:48:33,Полная 226,Город,Великий Новгород,Брагин Андрей,11:48:33.0,М
82,80,4,125,Греков,Андрей,m,M30-34,,11:52:21,Полная 226,Город,Минск,Греков Андрей,11:52:21.0,М
83,81,23,80,Игебаев,Айнур,m,M40-44,,11:53:11,Полная 226,Город,Уфа,Игебаев Айнур,11:53:11.0,М
